user_id,ut_id,suburb,state,postcode,employment_type,active,modified_time,comments,app_version,device_os,device_os_version,app_timezone,last_logged_in
764,2,rockdale,nsw,2216,6,1,2020-03-24 00:22:35,asfdsfdgfhgjhklk wdfrhtgjhj qwertyujk werthjhgdsdvf asfdsfdgfhgjhklk wdfrhtgjhj qwertyujk werthjhgdsdvf asfdsfdgfhgjhklk wdfrhtgjhj qwertyujk werthjhgdsdvf asfdsfdgfhgjhklk wdfrhtgjhj qwertyujk werthjhgdsdvf asfdsfdgfhgjhklk wdfrhtgjhj qwertyujk werthjhgdsdvf asfdsfdgfhgjhklk wdfrhtgjhj qwertyujk werthjhgdsdvf asfdsfdgfhgjhklk wdfrhtgjhj qwertyujk werthjhgdsdvf asfdsfdgfhgjhklk wdfrhtgjhj qwertyujk werthjhgdsdvf asfdsfdgfhgjhklk wdfrhtgjhj qwertyujk werthjhgdsdvf asfdsfdgfhgjhklk wdfrhtgjhj qwer,5.8.3,web,Chrome 80,-660,2020-03-19 02:23:27
765,2,,,,4,0,2021-03-03 04:57:06,,5.33.2,web,Chrome 88,-660,2021-03-03 04:57:29
767,2,,,,1,1,,,,,,,
770,3,,,,5,0,2019-06-24 05:35:32,,,,,,2019-04-08 23:18:09
771,2,,,,3,0,2018-11-01 00:09:05,,4.2.2,web,Chrome 74,-600,2019-05-15 07:11:56
777,2,,,,5,1,2021-02-26 03:41:08,,4.4.6,iOS,9.3.5,-600,2019-08-08 00:38:32
779,2,,,,6,0,2018-11-16 04:44:12,,4.2.2,web,Chrome 74,-600,2019-05-15 07:07:11
810,3,,,,5,1,2020-08-11 01:44:37,,,,,,2020-08-11 01:45:05
814,2,,,,1,1,,,3.15.0,web,Chrome 69,-660,
819,2,,,,1,1,,,,,,,
820,2,,,,1,1,,,,,,,
821,2,,,,1,1,,,,,,,
822,2,,,,1,1,,,,,,,
823,2,,,,1,1,,,,,,,
824,3,,,,1,1,,,,,,,2021-05-02 23:57:06
825,2,,,,1,1,2020-11-25 03:03:11,,5.37.1,web,Chrome 90,-600,2021-04-29 01:27:50
826,2,,,,1,1,,,,,,,
827,2,,,,1,1,,,,,,,
828,2,,,,1,1,,,,,,,
829,2,,,,1,1,,,,,,,
830,2,,,"",1,1,2020-09-09 06:31:29,,,,,,
831,2,,,,1,1,,,,,,,
832,2,,,,1,1,,,,,,,
833,2,,,,1,1,,,,,,,
834,3,,,,1,1,2021-01-11 05:52:04,,,,,,2020-12-21 02:20:31
836,2,,,,1,1,,,,,,,
837,3,,,,1,0,2019-09-11 05:24:59,,,,,,2019-09-11 05:23:19
838,3,,,,1,0,2018-11-12 00:56:47,,,,,,
840,3,,,,1,0,2019-06-05 01:16:09,,,,,,2018-11-12 00:54:59
842,3,Crows Nest,NSW,2065,6,1,,,,,,,2019-09-08 03:34:22
843,3,,,,5,1,,,,,,,2020-05-20 05:32:26
844,2,,,,6,1,,,4.6.0,web,Chrome 76,-180,2019-09-20 10:53:47
845,3,North Sydney,NSW,2060,1,0,2018-11-13 03:06:15,,,,,,
846,2,,,,1,1,,,3.16.3,iOS,12.0,-660,2018-11-13 03:07:36
847,3,,,,1,0,2018-11-18 23:52:50,,,,,,2018-11-15 01:29:08
935,2,subNorth Sydney,NSW,2060,,1,2018-12-05 10:53:51,This is a test from Zapier,,,,,
936,2,,,,3,1,,,,,,,
940,3,,,,1,1,2021-03-30 03:24:32,,,,,,2021-05-02 19:16:48
941,2,,,,1,1,2020-02-27 05:26:03,,5.25.2,web,Chrome 86,-660,2020-10-29 04:54:42
942,3,Crows Nest,NSW,2065,1,1,2020-10-21 23:09:42,,,,,,2021-04-14 04:29:49
943,2,North Sydney,NSW,2060,1,1,2020-12-22 01:57:54,,5.37.1,web,Chrome 4,-600,2021-04-28 07:53:16
944,2,,,,1,1,,,,,,,
945,3,,,,5,1,,,,,,,
946,2,,,,5,1,,,,,,,
947,2,,,,1,1,,,,,,,
948,2,Rooty Hill,NSW,2766,1,1,2021-03-02 04:53:31,,5.33.2,web,Netscape 5.0 (iPhone; CPU iPho,-660,2021-03-03 02:53:48
949,3,,,,1,1,2020-04-21 02:00:20,,,,,,2021-04-26 02:50:43
950,2,,,,1,1,2020-11-26 22:52:23,,5.29.0,web,Netscape 5.0 (iPhone; CPU iPho,-660,2020-12-29 22:32:35
951,2,,,,1,1,,,,,,,
952,2,,,"",1,1,2020-09-09 06:30:36,,5.9.5,web,Chrome 80,-600,2020-04-29 02:12:36
953,2,,,,1,1,,,,,,,
954,2,,,,1,1,,,,,,,
955,2,,,,1,1,,,,,,,
956,2,,,"",1,1,2020-09-09 06:31:35,,,,,,
957,2,,,,1,1,,,,,,,
958,2,,,,1,1,,,,,,,
959,2,,,,1,1,,,,,,,
960,2,,,,1,1,,,,,,,
961,2,,,,1,1,,,,,,,
962,2,,,,1,1,,,,,,,
963,2,,,,1,1,,,,,,,
